#Rocket
#t,x,y
1.283333333E-1,-1.131882302E-2,8.574707011E-1
1.300000000E-1,-1.050904455E-2,8.871171620E-1
1.316666667E-1,-1.106941980E-2,9.070497063E-1
1.333333333E-1,-1.119581442E-2,9.196536532E-1
1.350000000E-1,-1.389168721E-2,9.559510557E-1
1.366666667E-1,-1.262325381E-2,9.690481265E-1
1.383333333E-1,-1.165777328E-2,9.973475864E-1
1.400000000E-1,-1.404821475E-2,1.018473816E0
1.416666667E-1,-1.125421640E-2,1.049874287E0
1.433333333E-1,-1.123986077E-2,1.068855273E0
1.450000000E-1,-8.554521465E-3,1.086451961E0
1.466666667E-1,-3.989146340E-3,1.118159253E0
1.483333333E-1,-5.622353655E-3,1.145123616E0
1.500000000E-1,-1.142921405E-2,1.175211740E0
1.516666667E-1,-1.410204024E-2,1.200199507E0
1.533333333E-1,-1.450152188E-2,1.227411230E0
1.550000000E-1,-1.628779959E-2,1.244158029E0
1.566666667E-1,-1.717111029E-2,1.277588769E0
1.583333333E-1,-1.695238351E-2,1.292225945E0
1.600000000E-1,-1.245717995E-2,1.329386065E0
1.616666667E-1,-1.022664549E-2,1.353559512E0
1.633333333E-1,-1.043251061E-2,1.389923150E0
1.650000000E-1,-1.408055103E-2,1.421927884E0
1.666666667E-1,-1.756495482E-2,1.445283141E0
1.683333333E-1,-1.765947785E-2,1.473227922E0
